height,rnd
150000,249862018459119407493284857530261236403
150001,163547063255625112425292434369863489753
150002,292452953370387795665349040259981524384
150003,310779358431550537885523565009504900950
150004,163376612412853895147549763016094702307
150005,210934686292928770092415911271201859086
150006,187626921387243919142735570127629744731
150007,143245649212341438238282526770948679644
150008,339888399280206388667172387531823241985
150009,104654230821501056106041350837910426532
150010,298463018961511272668645685980392670203
150011,117739748269890914807492605293700148247
150012,286921350883060258869605728855523741892
150013,168246009678647095715723752983339103807
150014,319357714067160556867421106922418512898
150015,77199898770923891011332944168661725579
150016,240157451385597481014600756605270430196
150017,302129492534044463207608342082749613717
150018,171626423936614091014590143656748489433
150019,327473149033515582101300994999136354689
150020,190236025055731328464119464506013387319
150021,335547962267553521617966574018661554276
150022,1037865994040335214553164445496147638
150023,103925203829691243058488029861052402043
150024,121423670842224698416819035342141662210
150025,237721623259802939911646859709874303927
150026,84920421641722034672844676410421650873
150027,202547287305452927935621678111795537995
150028,260662115071338865250357405012533996212
150029,158900291162501430667785296534932493232
150030,60473748468949743967413569943943392048
150031,320046096235431040064429492485483504754
150032,319909370115636023301648100828231548176
150033,37421394891165530132845457337295112458
150034,75820567344371367599555128758670939460
150035,290706255245520434590589228886484190262
150036,20999331789308872132052706112982347765
150037,252134989165734238457877947764054452638
150038,36913679241060567570235176933338304621
150039,55261398220988440909804344447042690196
150040,273522267282398268273900076204355148515
150041,295755933617582390098687275715414422242
150042,48026456996295478951477029150233284615
150043,145810042434138524094148298983541784781
150044,138778132458572882519007467898856032929
150045,27085851551177004907700917193756307887
150046,35011645432276219110176650122125167125
150047,249774095432548980673138351443307929204
150048,98165612610109976627159136700448232695
150049,327467438548778801738442421978514724059
150050,19111819955310881360534387820916933648
150051,204862565724412789212504289086695976386
150052,150551461182335359761764536886557362168
150053,49088932154268761623490198547341732441
150054,159455017441202631819906869549039196807
150055,108456225628020771564761045530345723437
150056,55424269423661849726283019665476801296
150057,179613050620777935702662452239448341716
150058,84758230141229709332821187988479885515
150059,227543461532317928344080749559197370255
150060,47171083598277962909379453596947242414
150061,146494248629050382287715604880428721738
150062,326408409992377229054580998838934959808
150063,108752142074988294524623342601881012225
150064,234815794843642666766155570046153477950
150065,288187582384944136678751615010039424533
150066,203467416782911335950923866983061658093
150067,80153185298599440839241739567618615956
150068,129838182163453910114483908617575005646
150069,72168344403234879271561695658919432900
150070,161505257183249807259422318549129999507
150071,69488270628819054334084691414245140012
150072,65012097579357079926047349847395301213
150073,52043210073098528768655655995052805483
150074,301398338961183387407810401550553552352
150075,166960766941634257625848248043122168569
150076,23556425508376024225417691320071042993
150077,331875285647931753780643844220247460033
150078,194268704342288187762372260107993589771
150079,1779557995579502327979181404247568045
150080,109019664060929433579321840475822912178
150081,64234111997007685793260299088856565581
150082,137284407235389547715264382261808192737
150083,87058467371290711646664205863435838750
150084,134080474839290914166645072272347323317
150085,76090122899008196123300160636614583599
150086,2115783965316760198511241452826143298
150087,60554315947953465762135970383909794329
150088,14227815973635888735067379855753391648
150089,307408738672871587160578585414644699189
150090,179023167166051645062689417791367315845
150091,51403008830885674216024597521800481577
150092,211851992351412039766058627652813745660
150093,242530205370628852117012374248428619616
150094,292365953859195684189258226118273984589
150095,304290811854889655814495762049941500385
150096,199571418102734863622636027318789080722
150097,47095230830597072113180299018379592970
150098,61240531293684683091538536193911709076
150099,199911029092032643130016752166407614709
150100,300593014405565322710474797992578236321
150101,260629040382932402263006977491417839384
150102,163382075882988019241291515789923820957
150103,156443153228180499450512868369963868326
150104,271483795734738258424618651183409221710
150105,151552313571604963581307973692306274188
150106,224050870593898747249071930657005453732
150107,54924793575284516414019784217563621381
150108,306197758513452685323680734478162434896
150109,90652763695324571121757703363052725813
150110,127489977199217622903585446064324895746
150111,334967680041816197139997332670271383848
150112,179943636662054684047957563261728245602
150113,120480639401816463230621148977478820618
150114,326768163966662375833592506721068731524
150115,236302748791860710470898685977727493263
150116,129977726872781455734153274908875900330
150117,163266061638321070167903464834166004174
150118,136996435651078564577157899920205810658
150119,39379985234566649685312731547787299884
150120,336562233737040335826766687118183916378
150121,111717181110386682981699768197955978639
150122,308462484902821573068529724566362525961
150123,196707515711341008336585529033189851838
150124,38880708214958097516586571120459646372
150125,59283188367143529726879510264350204579
150126,313280386805431355476349191380951071622
150127,103617892577259269147624656642398598331
150128,158091262294016403006036648723217113978
150129,277466489729206494707563288366188391959
150130,238233496031571186246956758711702421094
150131,117868928619280979342615189221042505200
150132,310900825569513606981433122777940605737
150133,46439341548558966542125478875865073716
150134,93233946916487489704230017483581303796
150135,49865370335480857552864869112623253844
150136,149243446050591992087263219000579344795
150137,281672082517917296620944395013910056627
150138,139978214057276115013665961264872727278
150139,217956036549819989364699594441940143424
150140,87239430332727780281291203021474738206
150141,302409939570469467504066448079131884729
150142,142447514464593053073944365635770343376
150143,224950916416821870454816949018834258167
150144,131294447406664147153645921331288440812
150145,210973195448166697735813947873077494406
150146,167294687172937089363130077435394030613
150147,181980763619298039511079019433237481630
150148,214477624168950970240054117192028862918
150149,1505295639880229903858442531951827310
150150,145057083690460955456784184706497222878
150151,283788799424976825636854587434750491342
150152,34686591639477043129247906707596145110
150153,86848634888353260571069849459118871195
150154,40964945334899117603112816694013034048
150155,38727696693520854129807852773549009981
150156,217039309816116769616043779428921033413
150157,157052571104965730179388157410069873682
150158,263048487571271056921678883636026862020
150159,183333439211719390223581726865972964842
150160,150899777897257612949598442424996590654
150161,49945828465321998366836834077574117838
150162,10949038466974324112300897696363858887
150163,134898200512499864586664970531443568566
150164,270519034473924091543797565948871146604
150165,188470976569938799151462903404320013923
150166,107876076803905444234699886760147771187
150167,64242025832174225444565997667660036056
150168,292063220836630314372025496018556864196
150169,114161319607707400891083543653812894177
150170,2656643079861720366889335250071248775
150171,77847371714672322733381210126464193882
150172,164964690263656726358603714227637934964
150173,305771848861535364084135786943640748483
150174,167528499191095802521682628387301986505
150175,69903330882445052601064960118030246944
150176,224295208116513530299024941907994872792
150177,203930207678871037014811568717956966945
150178,57655718508343575870442086864581907786
150179,229443890726786758959310790284279781392
150180,194377593579222616247008180159244187352
150181,328458950034286541921804944805850465769
150182,27410255328751770420501806887471124628
150183,334186031865575005954410086397088464472
150184,307174507605468188265875339041531789044
150185,169656552535976547126285500897497787599
150186,245115922798759337251270410361000564482
150187,71294357128133710989785570188432746719
150188,69759972768357483595120963397987439830
150189,20616034928444080923131839999971473209
150190,29400221902491065549142277779541328949
150191,6863058324052953985160228719201808287
150192,170156235812202662596167234245013404508
150193,250192967091008415550201831392557975510
150194,166729262033418131070962321147540509735
150195,247126003562906784764766287386828227624
150196,130597281592585382126920929927444508305
150197,135753097365641629969266213474219749575
150198,140842248688290005432614182362471832287
150199,100543015022750163886334695373779447614
150200,6442204296090418336335128396987755493
150201,81789391667588187736872355684180568435
150202,163588908447546687596855059643058025701
150203,110288046603483490457608903351940471208
150204,165465037344457696554056263650077268881
150205,257452249307925237195331236960277776430
150206,133539519210823568171660289144443470929
150207,127550718209789818117056662336933718921
150208,54878135411866516593039898063091071792
150209,154653707620169437191823889101346614486
150210,276560248223365436737044248386068241889
150211,143466816476555823326196837957471450884
150212,229560405753911984800908252349808521952
150213,209196430508783492578823889922866647770
150214,80980203966857948842238430467100086481
150215,330405728562982657435541659079005947765
150216,219304512547622413859029801676428789363
150217,239582724770191715578442209892858573972
150218,163837694036880191679909489276369572944
150219,92957949643979352352943787640669450118
150220,26061378910259780203449428920955158700
150221,123081094836845302566542862906046422685
150222,255809728043872805027114612959179943680
